ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
བསྐྱོམ | སྐྱོམ_མ་འོངས་པ།_###
བསྐྱོམས | སྐྱོམ_འདས་པ།_###
བསྐྱོར | བསྐྱོར_འདས་པ།_###+སྐྱོར_མ་འོངས་པ།_###+བསྐྱོར_མ་འོངས་པ།_###+སྐྱོར_འདས་པ།_###
བསྐྲད | བསྐྲད_འདས་པ།_ཐ་དད་པ+བསྐྲད_མ་འོངས་པ།_ཐ་དད་པ+སྐྲོད_འདས་པ།_ཐ་དད་པ+སྐྲོད_མ་འོངས་པ།_ཐ་དད་པ
བསྐྲུ | སྐྲུ_མ་འོངས་པ།_ཐ་དད་པ+སྐྲུ_མ་འོངས་པ།_###
བསྐྲུན | བསྐྲུན_འདས་པ།_ཐ་དད་པ+སྐྲུན_མ་འོངས་པ།_ཐ་དད་པ+བསྐྲུན_མ་འོངས་པ།_ཐ་དད་པ+སྐྲུན_འདས་པ།_ཐ་དད་པ
བསྐྲུས | སྐྲུ_འདས་པ།_ཐ་དད་པ+སྐྲུ_འདས་པ།_###
བསྐྲོག | སྐྲོག_མ་འོངས་པ།_###+སྐྲོག_མ་འོངས་པ།_ཐ་དད་པ
བསྐྲོགས | སྐྲོག_འདས་པ།_###+སྐྲོག_འདས་པ།_ཐ་དད་པ
བསྒག | སྒོག_མ་འོངས་པ།_ཐ་དད་པ+སྒོག_མ་འོངས་པ།_###
བསྒགས | སྒོག_འདས་པ།_ཐ་དད་པ+སྒོག_འདས་པ།_###
བསྒབ | སྒབ_མ་འོངས་པ།_ཐ་དད་པ
བསྒབས | སྒབ_འདས་པ།_ཐ་དད་པ
བསྒར | སྒོར_འདས་པ།_ཐ་དད་པ+བསྒར_འདས་པ།_###+བསྒར_མ་འོངས་པ།_ཐ་དད་པ+སྒོར_མ་འོངས་པ།_ཐ་དད་པ+བསྒར_མ་འོངས་པ།_###+སྒར_མ་འོངས་པ།_ཐ་དད་པ+བསྒར_འདས་པ།_ཐ་དད་པ+སྒར_འདས་པ།_ཐ་དད་པ
བསྒུག | སྒུགས_མ་འོངས་པ།_ཐ་དད་པ+སྒུག_མ་འོངས་པ།_ཐ་དད་པ
བསྒུགས | སྒུགས_འདས་པ།_ཐ་དད་པ+སྒུག_འདས་པ།_ཐ་དད་པ
བསྒུར | སྒུར_མ་འོངས་པ།_ཐ་མི་དད་པ+བསྒུར_འདས་པ།_ཐ་དད་པ+བསྒུར_མ་འོངས་པ།_ཐ་དད་པ+སྒུར_འདས་པ།_ཐ་མི་དད་པ
བསྒུལ | སྒུལ_མ་འོངས་པ།_ཐ་དད་པ+སྒུལ_འདས་པ།_ཐ་དད་པ+བསྒུལ_འདས་པ།_ཐ་དད་པ+བསྒུལ_མ་འོངས་པ།_ཐ་དད་པ
བསྒོ | བསྒོས_མ་འོངས་པ།_ཐ་དད་པ+སྒོ_མ་འོངས་པ།_###+སྒོ_མ་འོངས་པ།_ཐ་དད་པ
བསྒོང | སྒོང_མ་འོངས་པ།_ཐ་དད་པ+བསྒང_འབྲི་ཚུལ+བྱ་ཚིག_###
བསྒོངས | སྒོང_འདས་པ།_ཐ་དད་པ+སྒོང_འདས་པ།_འབྲི་ཚུལ
བསྒོམ | སྒོམ_མ་འོངས་པ།_ཐ་དད་པ
བསྒོམས | སྒོམ_འདས་པ།_ཐ་དད་པ
བསྒོས | སྒོ_འདས་པ།_###+བསྒོས_འདས་པ།_ཐ་དད་པ+སྒོ_འདས་པ།_ཐ་དད་པ
བསྒྱང | སྒྱང_མ་འོངས་པ།_ཐ་དད་པ
བསྒྱངས | སྒྱང_འདས་པ།_ཐ་དད་པ
བསྒྱིང | སྒྱིང_མ་འོངས་པ།_###+སྒྱིང_མ་འོངས་པ།_ཐ་དད་པ
བསྒྱིངས | སྒྱིང_འདས་པ།_###+སྒྱིང_འདས་པ།_ཐ་དད་པ
བསྒྱུར | སྒྱུར_མ་འོངས་པ།_ཐ་དད་པ+སྒྱུར_མ་འོངས་པ།_###+བསྒྱུར_འདས་པ།_ཐ་དད་པ+བསྒྱུར_མ་འོངས་པ།_ཐ་དད་པ+སྒྱུར_འདས་པ།_ཐ་དད་པ+སྒྱུར_འདས་པ།_###
བསྒྱེལ | བསྒྱེལ_མ་འོངས་པ།_ཐ་དད་པ+སྒྱེལ_མ་འོངས་པ།_ཐ་དད་པ+བསྒྱེལ_འདས་པ།_ཐ་དད་པ+སྒྱེལ_འདས་པ།_ཐ་དད་པ
བསྒྲག | སྒྲོག_མ་འོངས་པ།_ཐ་དད་པ+སྒྲོག_མ་འོངས་པ།_###
བསྒྲགས | སྒྲོག_འདས་པ།_ཐ་དད་པ+སྒྲོག_འདས་པ།_###
བསྒྲང | སྒྲང_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲངས | སྒྲང_འདས་པ།_ཐ་དད་པ
བསྒྲད | བྱ་ཚིག_ཐ་མི་དད་པ+བགྲད_འབྲི་ཚུལ
བསྒྲལ | བསྒྲལ_འདས་པ།_ཐ་དད་པ+བསྒྲལ_མ་འོངས་པ།_ཐ་དད་པ+སྒྲོལ_འདས་པ།_###+སྒྲོལ_མ་འོངས་པ།_ཐ་དད་པ+སྒྲོལ_མ་འོངས་པ།_###+སྒྲོལ_འདས་པ།_ཐ་དད་པ
བསྒྲིག | སྒྲིག_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲིགས | སྒྲིག_འདས་པ།_ཐ་དད་པ
བསྒྲིན | སྒྲིན_མ་འོངས་པ།_ཐ་དད་པ+སྒྲིན_འདས་པ།_ཐ་དད་པ+བསྒྲིན_མ་འོངས་པ།_ཐ་དད་པ+བསྒྲིན_འདས་པ།_ཐ་དད་པ
བསྒྲིབ | སྒྲིབ_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲིབས | སྒྲིབ_འདས་པ།_ཐ་དད་པ
བསྒྲིམ | སྒྲིམ_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲིམས | སྒྲིམ_འདས་པ།_ཐ་དད་པ
བསྒྲིལ | སྒྲིལ_འདས་པ།_###+བསྒྲིལ_འདས་པ།_ཐ་དད་པ+སྒྲིལ_མ་འོངས་པ།_###+བསྒྲིལ_མ་འོངས་པ།_ཐ་དད་པ+སྒྲིལ_འདས་པ།_ཐ་དད་པ+སྒྲིལ_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲུག | སྒྲུག_མ་འོངས་པ།_ཐ་དད་པ+སྒྲུག_མ་འོངས་པ།_###
བསྒྲུགས | སྒྲུག_འདས་པ།_ཐ་དད་པ+སྒྲུག_འདས་པ།_###
བསྒྲུང | སྒྲུངས_མ་འོངས་པ།_ཐ་དད་པ+སྒྲུང_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲུངས | སྒྲུངས_འདས་པ།_ཐ་དད་པ+སྒྲུང_འདས་པ།_ཐ་དད་པ
བསྒྲུན | བསྒྲུན_འདས་པ།_ཐ་དད་པ+སྒྲུན_མ་འོངས་པ།_ཐ་དད་པ+བསྒྲུན_མ་འོངས་པ།_ཐ་དད་པ+སྒྲུན_འདས་པ།_ཐ་དད་པ
བསྒྲུབ | སྒྲུབ_མ་འོངས་པ།_###+སྒྲུབ_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲུབས | སྒྲུབ_འདས་པ།_ཐ་དད་པ+སྒྲུབ_འདས་པ།_###
བསྒྲེ | སྒྲེ_མ་འོངས་པ།_ཐ་དད་པ+སྒྲེ_མ་འོངས་པ།_###+བསྒྲེས_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲེང | སྒྲེང_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲེངས | སྒྲེང_འདས་པ།_ཐ་དད་པ
བསྒྲེས | སྒྲེ_འདས་པ།_ཐ་དད་པ+སྒྲེ_འདས་པ།_###+བསྒྲེས_འདས་པ།_ཐ་དད་པ
བསྒྲོ | སྒྲོ_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲོག | སྒྲོག_མ་འོངས་པ།_འབྲི་ཚུལ
བསྒྲོགས | སྒྲོག_འདས་པ།_འབྲི་ཚུལ
བསྒྲོད | སྒྲོད_འདས་པ།_ཐ་དད་པ+སྒྲོད_མ་འོངས་པ།_ཐ་དད་པ
བསྒྲོན | སྒྲོན_འདས་པ།_###+བསྒྲོན_མ་འོངས་པ།_ཐ་དད་པ+སྒྲོན_མ་འོངས་པ།_###+བསྒྲོན_འདས་པ།_ཐ་དད་པ+སྒྲོན_མ་འོངས་པ།_ཐ་དད་པ+སྒྲོན_འདས་པ།_ཐ་དད་པ
བསྒྲོས | སྒྲོ_འདས་པ།_ཐ་དད་པ
བསྔག | བྱ་ཚིག_ཐ་དད་པ
བསྔགས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བསྔང | སྔངས_མ་འོངས་པ།_ཐ་མི་དད་པ
བསྔངས | སྔངས_འདས་པ།_ཐ་མི་དད་པ
བསྔས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བསྔོ | སྔོ_མ་འོངས་པ།_ཐ་དད་པ+བསྔོས_མ་འོངས་པ།_ཐ་དད་པ
བསྔོག | སྔོག_མ་འོངས་པ།_ཐ་དད་པ+སྔོག_མ་འོངས་པ།_###
བསྔོགས | སྔོག_འདས་པ།_ཐ་དད་པ+སྔོག_འདས་པ།_###
བསྔོས | བསྔོས_འདས་པ།_ཐ་དད་པ+སྔོ_འདས་པ།_ཐ་དད་པ
བསྙག | སྙོག_མ་འོངས་པ།_###
བསྙགས | སྙོག_འདས་པ།_###
བསྙད | སྙད_འདས་པ།_ཐ་དད་པ+སྙོད_མ་འོངས་པ།_ཐ་དད་པ+སྙད_མ་འོངས་པ།_ཐ་དད་པ+སྙོད_འདས་པ།_ཐ་དད་པ+བསྙད_མ་འོངས་པ།_ཐ་དད་པ+བསྙད_འདས་པ།_ཐ་དད་པ
བསྙབ | སྙོབ_མ་འོངས་པ།_ཐ་དད་པ
བསྙབས | སྙོབ_འདས་པ།_ཐ་དད་པ
བསྙམ | སྙོམ_མ་འོངས་པ།_ཐ་དད་པ
བསྙམས | སྙོམ_འདས་པ།_ཐ་དད་པ
བསྙལ | སྙལ_མ་འོངས་པ།_###+བསྙལ_འདས་པ།_ཐ་དད་པ+བསྙལ_མ་འོངས་པ།_ཐ་དད་པ+སྙལ_འདས་པ།_ཐ་དད་པ+སྙལ_འདས་པ།_###+སྙལ_མ་འོངས་པ།_ཐ་དད་པ
བསྙིག | སྙིག_མ་འོངས་པ།_ཐ་དད་པ
བསྙིགས | སྙིག_འདས་པ།_ཐ་དད་པ
བསྙིལ | སྙིལ_འདས་པ།_ཐ་དད་པ+སྙིལ_མ་འོངས་པ།_###+བསྙིལ_མ་འོངས་པ།_ཐ་དད་པ+བསྙིལ_འདས་པ།_ཐ་དད་པ+སྙིལ_འདས་པ།_###+སྙིལ_མ་འོངས་པ།_ཐ་དད་པ
བསྙུག | སྙུག_མ་འོངས་པ།_ཐ་དད་པ
བསྙུགས | སྙུག_འདས་པ།_ཐ་དད་པ
བསྙུང | སྙུང_མ་འོངས་པ།_ཐ་མི་དད་པ+སྙུང_མ་འོངས་པ།_ཐ་དད་པ
བསྙུངས | སྙུང_འདས་པ།_ཐ་དད་པ+སྙུང_འདས་པ།_ཐ་མི་དད་པ
བསྙུན | སྙུན_མ་འོངས་པ།_ཐ་མི་དད་པ+བསྙུན_འདས་པ།_ཐ་དད་པ+བསྙུན_མ་འོངས་པ།_ཐ་དད་པ+སྙུན_འདས་པ།_ཐ་མི་དད་པ
བསྙུལ | སྙུལ_མ་འོངས་པ།_ཐ་དད་པ+སྙུལ_འདས་པ།_ཐ་དད་པ+བསྙུལ_མ་འོངས་པ།_ཐ་དད་པ+བསྙུལ_འདས་པ།_ཐ་དད་པ
བསྙེ | སྙེ_མ་འོངས་པ།_ཐ་དད་པ
བསྙེག | སྙེག_མ་འོངས་པ།_ཐ་དད་པ+སྙེག_མ་འོངས་པ།_###
བསྙེགས | སྙེག_འདས་པ།_###+སྙེག_འདས་པ།_ཐ་དད་པ
བསྙེང | སྙེང_མ་འོངས་པ།_ཐ་དད་པ+སྙེང_མ་འོངས་པ།_###+སྙེང_མ་འོངས་པ།_ཐ་མི་དད་པ
བསྙེངས | སྙེང_འདས་པ།_###+སྙེང_འདས་པ།_ཐ་དད་པ+སྙེང_འདས་པ།_ཐ་མི་དད་པ
བསྙེན | བསྙེན_མ་འོངས་པ།_ཐ་དད་པ+སྙེན_འདས་པ།_ཐ་དད་པ+སྙེན_མ་འོངས་པ།_ཐ་དད་པ+བསྙེན_འདས་པ།_ཐ་དད་པ
བསྙེམ | སྙེམ_མ་འོངས་པ།_ཐ་དད་པ
བསྙེམས | སྙེམ_འདས་པ།_ཐ་དད་པ
བསྙེར | བསྙེར_མ་འོངས་པ།_ཐ་དད་པ+བསྙེར_འདས་པ།_ཐ་དད་པ+སྙེར_མ་འོངས་པ།_ཐ་དད་པ+སྙེར_འདས་པ།_ཐ་དད་པ
བསྙེལ | སྙེལ_མ་འོངས་པ།_ཐ་དད་པ+སྙེལ_འདས་པ།_ཐ་དད་པ+བསྙེལ_མ་འོངས་པ།_ཐ་དད་པ+བསྙེལ_འདས་པ།_ཐ་དད་པ
བསྙེས | སྙེ_འདས་པ།_ཐ་དད་པ
བསྙོག | སྙོག_མ་འོངས་པ།_ཐ་དད་པ
བསྙོགས | སྙོག_འདས་པ།_ཐ་དད་པ
བསྙོད | བསྙོད_མ་འོངས་པ།_ཐ་དད་པ+སྙོད_མ་འོངས་པ།_###+བསྙོད_འདས་པ།_ཐ་དད་པ+སྙོད_འདས་པ།_###
བསྙོན | སྙོན_མ་འོངས་པ།_ཐ་དད་པ+བསྙོན_འདས་པ།_ཐ་དད་པ+བསྙོན_མ་འོངས་པ།_ཐ་དད་པ+སྙོན_འདས་པ།_ཐ་དད་པ
བསྙོར | སྙོར_འདས་པ།_ཐ་དད་པ+སྙོར_མ་འོངས་པ།_ཐ་དད་པ+བསྙོར_མ་འོངས་པ།_ཐ་དད་པ+བསྙོར_འདས་པ།_ཐ་དད་པ
བསྙོལ | སྙལ_འདསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
བསྟང | སྟང_མ་འོངས་པ།_ཐ་དད་པ
བསྟངས | སྟང_འདས་པ།_ཐ་དད་པ
བསྟད | སྟོད_མ་འོངས་པ།_ཐ་དད་པ+བསྟད_འདས་པ།_ཐ་དད་པ+བསྟད_མ་འོངས་པ།_ཐ་དད་པ+སྟོད_འདས་པ།_ཐ་དད་པ+སྟོད_འདས་པ།_###+སྟོད_མ་འོངས་པ།_###
བསྟན | སྟོན_འདས་པ།_ཐ་དད་པ+སྟོན_མ་འོངས་པ།_ཐ་དད་པ
བསྟབ | སྟོབ_མ་འོངས་པ།_ཐ་དད་པ
བསྟབས | སྟོབ_འདས་པ།_ཐ་དད་པ
བསྟར | བསྟར_མ་འོངས་པ།_ཐ་དད་པ+བསྟར_འདས་པ།_###+བསྟར_མ་འོངས་པ།_###+སྟར_འདས་པ།_ཐ་དད་པ+སྟར_མ་འོངས་པ།_ཐ་དད་པ+སྟོར_མ་འོངས་པ།_###+སྟར_འདས་པ།_###+སྟོར_མ་འོངས་པ།_ཐ་དད་པ+སྟོར_འདས་པ།_###+བསྟར_འདས་པ།_ཐ་དད་པ+སྟོར_འདས་པ།_ཐ་དད་པ+སྟར_མ་འོངས་པ།_###
བསྟི | སྟི_མ་འོངས་པ།_ཐ་མི་དད་པ+སྟིས_མ་འོངས་པ།_ཐ་མི་དད་པ
བསྟིང | སྟིང_མ་འོངས་པ།_ཐ་དད་པ
བསྟིངས | སྟིང_འདས་པ།_ཐ་དད་པ
བསྟིམ | སྟིམ_མ་འོངས་པ།_###+སྟིམ_མ་འོངས་པ།_ཐ་དད་པ
བསྟིམས | སྟིམ_འདས་པ།_ཐ་དད་པ+སྟིམ_འདས་པ།_###
བསྟིས | སྟི_འདས་པ།_ཐ་མི་དད་པ+སྟིས_འདས་པ།_ཐ་མི་དད་པ
བསྟུང | སྟུང_མ་འོངས་པ།_ཐ་མི་དད་པ+སྟུང_མ་འོངས་པ།_###
བསྟུངས | སྟུང_འདས་པ།_ཐ་མི་དད་པ+སྟུང_འདས་པ།_###
བསྟུད | སྟུད_འདས་པ།_ཐ་དད་པ+སྟུད_མ་འོངས་པ།_ཐ་དད་པ+བསྟུད_མ་འོངས་པ།_ཐ་དད་པ+བསྟུད_འདས་པ།_ཐ་དད་པ
བསྟུན | སྟུན_འདས་པ།_ཐ་དད་པ+སྟུན_མ་འོངས་པ།_ཐ་དད་པ+བསྟུན_མ་འོངས་པ།_ཐ་དད་པ+བསྟུན_འདས་པ།_ཐ་དད་པ
བསྟེན | སྟེན_འདས་པ།_ཐ་དད་པ+སྟེན_འདས་པ།_###+སྟེན_མ་འོངས་པ།_###+བསྟེན_མ་འོངས་པ།_ཐ་དད་པ+བསྟེན_འདས་པ།_ཐ་དད་པ+སྟེན_མ་འོངས་པ།_ཐ་དད་པ
བསྟོང | སྟོང_མའོངསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
བསྟོངས | སྟོང_འདསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
བསྟོད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བསྡད | སྡོད_འདས་པ།_ཐ་མི་དད་པ+བསྡད_མ་འོངས་པ།_ཐ་མི་དད་པ+སྡོད_མ་འོངས་པ།_ཐ་མི་དད་པ+བསྡད_འདས་པ།_ཐ་མི་དད་པ+སྡོད_མ་འོངས་པ།_###+སྡོད_འདས་པ།_###
བསྡམ | སྡོམ_མ་འོངས་པ།_ཐ་དད་པ+སྡོམ_མ་འོངས་པ།_###
བསྡམས | སྡོམ_འདས་པ།_###+སྡོམ_འདས་པ།_ཐ་དད་པ
བསྡིག | སྡིག_མ་འོངས་པ།_ཐ་དད་པ+སྡིག_མ་འོངས་པ།_###
བསྡིགས | སྡིག_འདས་པ།_###+སྡིག_འདས་པ།_ཐ་དད་པ
བསྡུ | སྡུད_མ་འོངས་པ།_ཐ་དད་པ+སྡུད_མ་འོངས་པ།_###
བསྡུམ | སྡུམ_མ་འོངས་པ།_ཐ་དད་པ
བསྡུམས | སྡུམ_འདས་པ།_ཐ་དད་པ
བསྡུར | སྡུར_མ་འོངས་པ།_ཐ་དད་པ+བསྡུར_འདས་པ།_ཐ་དད་པ+བསྡུར_མ་འོངས་པ།_ཐ་དད་པ+སྡུར_འདས་པ།_ཐ་དད་པ
བསྡུས | སྡུད_འདས་པ།_###+སྡུད_འདས་པ།_ཐ་དད་པ
བསྡེབ | སྡེབ_མ་འོངས་པ།_ཐ་དད་པ
བསྡེབས | སྡེབ_འདས་པ།_ཐ་དད་པ
བསྡོ | སྡོ_མ་འོངས་པ།_###+སྡོ_མ་འོངས་པ།_ཐ་དད་པ
བསྡོག | སྡོག_མ་འོངས་པ།_###+སྡོག_མ་འོངས་པ།_ཐ་དད་པ
བསྡོགས | སྡོག_འདས་པ།_###+སྡོག_འདས་པ།_ཐ་དད་པ
བསྡོང | སྡོང_མ་འོངས་པ།_ཐ་མི་དད་པ
བསྡོངས | སྡོང_འདས་པ།_ཐ་མི་དད་པ
བསྡོམ | སྡོམ_མ་འོངས་པ།_###
བསྡོམས | སྡོམ_འདས་པ།_###
བསྡོས | སྡོ_འདས་པ།_ཐ་དད་པ+སྡོ_འདས་པ།_###
བསྣད | བསྣད_མ་འོངས་པ།_ཐ་དད་པ+སྣད_མ་འོངས་པ།_ཐ་དད་པ+སྣད_འདས་པ།_ཐ་དད་པ+བསྣད_འདས་པ།_ཐ་དད་པ
བསྣན | བསྣན_མ་འོངས་པ།_ཐ་དད་པ+སྣོན_མ་འོངས་པ།_###+སྣོན_མ་འོངས་པ།_ཐ་དད་པ+སྣོན_འདས་པ།_###+སྣོན_འདས་པ།_ཐ་དད་པ+བསྣན_འདས་པ།_ཐ་དད་པ
བསྣམ | སྣོམ_མ་འོངས་པ།_###+སྣོམ_མ་འོངས་པ།_ཐ་དད་པ+སྣོམས_མ་འོངས་པ།_ཐ་དད་པ
བསྣམས | སྣོམ_འདས་པ།_ཐ་དད་པ+སྣོམ_འདས་པ།_###+སྣོམས_འདས་པ།_ཐ་དད་པ
བསྣར | སྣར_མ་འོངས་པ།_ཐ་དད་པ+སྣར_འདས་པ།_ཐ་དད་པ+སྣར_འདས་པ།_###+སྣར_མ་འོངས་པ།_###+བསྣར_མ་འོངས་པ།_ཐ་དད་པ+བསྣར_འདས་པ།_ཐ་དད་པ
བསྣུད | སྣུད_མ་འོངས་པ།_ཐ་དད་པ+བསྣུད_མ་འོངས་པ།_ཐ་དད་པ+བསྣུད_འདས་པ།_ཐ་དད་པ+སྣུད_འདས་པ།_ཐ་དད་པ
བསྣུན | སྣུན_འདས་པ།_###+བསྣུན_མ་འོངས་པ།_ཐ་དད་པ+སྣུན_འདས་པ།_ཐ་དད་པ+སྣུན_མ་འོངས་པ།_###+བསྣུན_འདས་པ།_ཐ་དད་པ+སྣུན_མ་འོངས་པ།_ཐ་དད་པ
བསྣུབ | སྣུབ_མ་འོངས་པ།_ཐ་དད་པ
བསྣུབས | སྣུབ_འདས་པ།_ཐ་དད་པ
བསྣུར | བསྣུར_མ་འོངས་པ།_ཐ་དད་པ+སྣུར_མ་འོངས་པ།_ཐ་མི་དད་པ+སྣུར_འདས་པ།_###+སྣུར_མ་འོངས་པ།_ཐ་དད་པ+སྣུར_འདས་པ།_ཐ་དད་པ+སྣུར_མ་འོངས་པ།_###+བསྣུར_འདས་པ།_ཐ་དད་པ+སྣུར_འདས་པ།_ཐ་མི་དད་པ
བསྣེམ | སྣེམ_མ་འོངས་པ།_ཐ་དད་པ+སྣེམ_མ་འོངས་པ།_###
བསྣེམས | སྣེམ_འདས་པ།_ཐ་དད་པ+སྣེམ_འདས་པ།_###
བསྣོ | སྣོ_མ་འོངས་པ།_ཐ་དད་པ
བསྣོག | སྣོགས_མ་འོངས་པ།_ཐ་དད་པ+སྣོག_མ་འོངས་པ།_###+སྣོག_མ་འོངས་པ།_ཐ་དད་པ
བསྣོགས | སྣོགས_འདས་པ།_ཐ་དད་པ+སྣོག_འདས་པ།_###+སྣོག_འདས་པ།_ཐ་དད་པ
བསྣོར | སྣོར_མ་འོངས་པ།_ཐ་དད་པ+སྣོར_འདས་པ།_ཐ་དད་པ+བསྣོར_མ་འོངས་པ།_ཐ་དད་པ+བསྣོར_འདས་པ།_ཐ་དད་པ
བསྣོལ | སྣོལ_འདས་པ།_ཐ་དད་པ+བསྣོལ_འདས་པ།_ཐ་དད་པ+སྣོལ_མ་འོངས་པ།_ཐ་དད་པ+བསྣོལ_མ་འོངས་པ།_ཐ་དད་པ
བསྣོས | སྣོ_འདས་པ།_ཐ་དད་པ
བསྩགས | བསགས_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
བསྩལ | བསྩལ_མ་འོངས་པ།_ཐ་དད་པ+སྩོལ_མ་འོངས་པ།_ཐ་དད་པ+སྩོལ_འདས་པ།_ཐ་དད་པ+བསྩལ_འདས་པ།_ཐ་དད་པ
བསྲང | སྲོང_མ་འོངས་པ།_ཐ་དད་པ+སྲོང_མ་འོངས་པ།_###
བསྲངས | སྲོང_འདས་པ།_ཐ་དད་པ+སྲོང_འདས་པ།_###
བསྲད | སྲད_མ་འོངས་པ།_ཐ་མི་དད་པ+སྲད_འདས་པ།_ཐ་མི་དད་པ+བསྲད_མ་འོངས་པ།_ཐ་དད་པ+བསྲད_འདས་པ།_ཐ་དད་པ
བསྲན | སྲན_མ་འོངས་པ།_ཐ་དད་པ+སྲན_འདས་པ།_ཐ་དད་པ+བསྲན_མ་འོངས་པ།_ཐ་དད་པ+བསྲན_འདས་པ།_ཐ་དད་པ
བསྲབ | སྲབ_མ་འོངས་པ།_ཐ་མི་དད་པ
བསྲབས | སྲབ_འདས་པ།_ཐ་མི་དད་པ
བསྲི | སྲི_མ་འོངས་པ།_ཐ་དད་པ
བསྲིང | སྲིང_མ་འོངས་པ།_###+སྲིང_མ་འོངས་པ།_ཐ་དད་པ
བསྲིངས | སྲིང_འདས་པ།_###+སྲིང_འདས་པ།_ཐ་དད་པ
བསྲིབ | བསྲིབས_མ་འོངས་པ།_ཐ་དད་པ+སྲིབ_མ་འོངས་པ།_ཐ་དད་པ
བསྲིབས | བསྲིབས_འདས་པ།_ཐ་དད་པ+སྲིབ_འདས་པ།_ཐ་དད་པ
བསྲིས | སྲི_འདས་པ།_ཐ་དད་པ
བསྲུང | སྲུང_མ་འོངས་པ།_ཐ་དད་པ+སྲུང_མ་འོངས་པ།_###
བསྲུངས | སྲུང_འདས་པ།_ཐ་དད་པ+སྲུང_འདས་པ།_###
བསྲུན | བསྲུན_མ་འོངས་པ།_ཐ་དད་པ+བསྲུན_འདས་པ།_ཐ་དད་པ+སྲུན_མ་འོངས་པ།_ཐ་དད་པ+སྲུན_འདས་པ།_ཐ་དད་པ
བསྲུབ | སྲུབ_མ་འོངས་པ།_###+སྲུབ_མ་འོངས་པ།_ཐ་དད་པ
བསྲུབས | སྲུབ_འདས་པ།_ཐ་དད་པ+སྲུབ_འདས་པ།_###
བསྲུལ | བསྲུལ_འདས་པ།_ཐ་དད་པ+བསྲུལ_མ་འོངས་པ།_ཐ་དད་པ+སྲུལ_འདས་པ།_ཐ་དད་པ+སྲུལ_མ་འོངས་པ།_ཐ་དད་པ
བསྲེ | སྲེ_མ་འོངས་པ།_ཐ་དད་པ
བསྲེག | སྲེག_མ་འོངས་པ།_###+སྲེག_མ་འོངས་པ།_ཐ་དད་པ
བསྲེགས | སྲེག_འདས་པ།_###+སྲེག_འདས་པ།_ཐ་དད་པ
བསྲེལ | བསྲེལ_འདས་པ།_ཐ་དད་པ+སྲེལ_འདས་པ།_ཐ་དད་པ+སྲེལ_མ་འོངས་པ།_ཐ་དད་པ+བསྲེལ_མ་འོངས་པ།_ཐ་དད་པ
བསྲེས | སྲེ_འདས་པ།_ཐ་དད་པ
བསྲོ | སྲོ_མ་འོངས་པ།_ཐ་དད་པ
བསྲོས | སྲོ_འདས་པ།_ཐ་དད་པ
བསླ | སླ_མ་འོངས་པ།_འབྲི་ཚུལ
བསླང | སློང_མ་འོངས་པ།_ཐ་དད་པ+སློང_མ་འོངས་པ།_###
བསླངས | སློང_འདས་པ།_ཐ་དད་པ+སློང_འདས་པ།_###
བསླད | སློད_འདས་པ།_###+བསླད_མ་འོངས་པ།_ཐ་དད་པ+སློད_མ་འོངས་པ།_###+བསླད_འདས་པ།_ཐ་དད་པ+སློད_འདས་པ།_ཐ་དད་པ+སློད_མ་འོངས་པ།_ཐ་དད་པ
བསླན | སློན_མ་འོངས་པ།_###+བསླན_འདས་པ།_ཐ་དད་པ+བསླན_མ་འོངས་པ།_ཐ་དད་པ+སློན_འདས་པ།_###+སློན_མ་འོངས་པ།_ཐ་དད་པ+སློན_འདས་པ།_ཐ་དད་པ
བསླབ | སློབ_མ་འོངས་པ།_ཐ་དད་པ
བསླབས | སློབ_འདས་པ།_ཐ་དད་པ
བསླས | སླ_འདས་པ།_འབྲི་ཚུལ
བསླུ | སླུ_མ་འོངས་པ།_ཐ་དད་པ
བསླུས | སླུ_འདས་པ།_ཐ་དད་པ
བསླེ | སླེ_མ་འོངས་པ།_ཐ་དད་པ
བསླེབ | སླེབ_མའོངསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་མི་དད་པ
བསླེབས | བྱ་ཚིག_###+སླེབས_འབྲི་ཚུལ
བསླེས | སླེ_འདས་པ།_ཐ་དད་པ
